filename,Unnamed: 0,test_id,env_id,n_agents,x_dim,y_dim,n_cities,max_rail_pairs_in_city,n_envs_run,seed,grid_mode,max_rails_between_cities,malfunction_duration_min,malfunction_duration_max,malfunction_interval,speed_ratios,reward,normalized_reward,percentage_complete,steps,simulation_time,nb_malfunctioning_trains,nb_deadlocked_trains,controller_inference_time_min,controller_inference_time_mean,controller_inference_time_max
Test_00/Level_0.pkl,0,Test_00,Level_0,7,30,30,2,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",0.0,1.0,1.0,171.0,0.2175741195678711,4.0,0.0,7.2479248046875e-05,0.00026073651007044364,0.0016586780548095703
Test_00/Level_1.pkl,1,Test_00,Level_1,7,30,30,2,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",0.0,1.0,1.0,170.0,0.20542502403259277,1.0,0.0,7.176399230957031e-05,0.0002637559717351741,0.0016770362854003906
Test_00/Level_2.pkl,2,Test_00,Level_2,7,30,30,2,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",-20.0,0.9806949806949807,1.0,144.0,0.2227177619934082,3.0,0.0,6.890296936035156e-05,0.0002504402829199725,0.0016770362854003906
Test_00/Level_3.pkl,3,Test_00,Level_3,7,30,30,2,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",-197.0,0.8123809523809524,0.42857142857142855,150.0,0.5674624443054199,3.0,0.0,6.890296936035156e-05,0.0002638523972879246,0.0016770362854003906
Test_00/Level_4.pkl,4,Test_00,Level_4,7,30,30,2,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",-57.0,0.953469387755102,1.0,128.0,0.19597172737121582,1.0,0.0,6.890296936035156e-05,0.0002788181854887998,0.0018229484558105469
Test_00/Level_5.pkl,5,Test_00,Level_5,7,30,30,2,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",-120.0,0.9227799227799228,1.0,173.0,0.2253713607788086,4.0,0.0,6.890296936035156e-05,0.00027888809513841963,0.0018229484558105469
Test_00/Level_6.pkl,6,Test_00,Level_6,7,30,30,2,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",-411.0,0.7402022756005057,0.2857142857142857,226.0,0.30704379081726074,4.0,0.0,6.890296936035156e-05,0.00029865763889122364,0.0021338462829589844
Test_00/Level_7.pkl,7,Test_00,Level_7,7,30,30,2,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",0.0,1.0,1.0,152.0,0.1942746639251709,1.0,0.0,6.890296936035156e-05,0.00029376634542619084,0.0021338462829589844
Test_00/Level_8.pkl,8,Test_00,Level_8,7,30,30,2,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",-193.0,0.7296918767507004,0.42857142857142855,102.0,0.14812302589416504,3.0,0.0,6.890296936035156e-05,0.00029212387941651474,0.0021338462829589844
Test_00/Level_9.pkl,9,Test_00,Level_9,7,30,30,2,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",-6.0,0.9956490210297317,1.0,168.0,0.2974064350128174,1.0,0.0,6.890296936035156e-05,0.0002901775367332232,0.0021338462829589844
Test_01/Level_0.pkl,10,Test_01,Level_0,7,30,30,2,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",-107.0,0.9155485398579322,0.7142857142857143,181.0,0.22785711288452148,4.0,0.0,6.890296936035156e-05,0.00028696100705068487,0.0021338462829589844
Test_01/Level_1.pkl,11,Test_01,Level_1,7,30,30,2,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",-79.0,0.9505012531328321,1.0,182.0,0.28276705741882324,4.0,0.0,6.890296936035156e-05,0.000289594080121198,0.0021338462829589844
Test_01/Level_2.pkl,12,Test_01,Level_2,7,30,30,2,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",-27.0,0.9737609329446064,1.0,108.0,0.15190601348876953,0.0,0.0,6.771087646484375e-05,0.0002883248665617044,0.0021338462829589844
Test_01/Level_3.pkl,13,Test_01,Level_3,7,30,30,2,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",-23.0,0.9845013477088949,1.0,196.0,0.22829055786132812,4.0,0.0,6.771087646484375e-05,0.0002866496726281379,0.0021338462829589844
Test_01/Level_4.pkl,14,Test_01,Level_4,7,30,30,2,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",-51.0,0.9479591836734694,0.8571428571428571,140.0,0.1691596508026123,1.0,0.0,6.771087646484375e-05,0.0002831303888860985,0.0021338462829589844
Test_01/Level_5.pkl,15,Test_01,Level_5,7,30,30,2,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",-75.0,0.9479889042995839,1.0,193.0,0.22537946701049805,4.0,0.0,6.771087646484375e-05,0.00028066397082325876,0.0021338462829589844
Test_01/Level_6.pkl,16,Test_01,Level_6,7,30,30,2,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",-9.0,0.9914853358561968,1.0,132.0,0.16617298126220703,3.0,0.0,6.771087646484375e-05,0.0002789780036690311,0.0021338462829589844
Test_01/Level_7.pkl,17,Test_01,Level_7,7,30,30,2,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",-40.0,0.9709934735315446,1.0,136.0,0.18045949935913086,3.0,0.0,6.771087646484375e-05,0.0002788339557353443,0.0021338462829589844
Test_01/Level_8.pkl,18,Test_01,Level_8,7,30,30,2,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",0.0,1.0,1.0,254.0,0.3175532817840576,2.0,0.0,6.771087646484375e-05,0.00028451120016732937,0.0021338462829589844
Test_01/Level_9.pkl,19,Test_01,Level_9,7,30,30,2,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",0.0,1.0,1.0,199.0,0.24715733528137207,4.0,0.0,6.771087646484375e-05,0.00028342522579314256,0.0021338462829589844
Test_02/Level_0.pkl,20,Test_02,Level_0,20,30,30,3,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",-1737.0,0.8116052060737527,0.55,461.0,1.525573968887329,20.0,0.0,6.771087646484375e-05,0.00040960216927389054,0.005079984664916992
Test_02/Level_1.pkl,21,Test_02,Level_1,20,30,30,3,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",-864.0,0.8446043165467626,0.6,278.0,0.6969850063323975,12.0,0.0,6.771087646484375e-05,0.00045031368083934945,0.005079984664916992
Test_02/Level_2.pkl,22,Test_02,Level_2,20,30,30,3,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",-163.0,0.9573298429319371,0.95,191.0,0.4359149932861328,4.0,0.0,6.771087646484375e-05,0.00046236275782129087,0.005079984664916992
Test_02/Level_3.pkl,23,Test_02,Level_3,20,30,30,3,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",-687.0,0.8647637795275591,0.8,254.0,0.563654899597168,11.0,0.0,6.771087646484375e-05,0.0004817606691635375,0.005079984664916992
Test_02/Level_4.pkl,24,Test_02,Level_4,20,30,30,3,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",-484.0,0.9185185185185185,0.75,297.0,0.6588399410247803,12.0,0.0,6.771087646484375e-05,0.0005017954387577107,0.005079984664916992
Test_02/Level_5.pkl,25,Test_02,Level_5,20,30,30,3,2,10,NA,False,2,20,50,540,"{1.0: 0.25, 0.5: 0.25, 0.33: 0.25, 0.25: 0.25}",-1783.0,0.7196540880503144,0.3,318.0,0.7612278461456299,13.0,0.0,6.771087646484375e-05,0.0005284392721600657,0.005079984664916992
